DATE,UNEM_RATE,MORTGAGE,GDPC1,FORECLOSURES,HPI
2003-01-01,5.9,5.84,13619.434,1.97,129
2003-04-01,6.1,5.51,13741.107,1.83,132
2003-07-01,6.1,6.03,13970.157,1.73,135
2003-10-01,5.8,5.92,14131.379,1.76,139
2004-01-01,5.7,5.6,14212.34,1.65,143
2004-04-01,5.6,6.11,14323.017,1.6,148
2004-07-01,5.4,5.89,14457.832,1.56,153
2004-10-01,5.4,5.74,14605.595,1.41,158
2005-01-01,5.3,5.77,14767.846,1.42,163
2005-04-01,5.1,5.71,14839.707,1.55,169
2005-07-01,5,5.76,14956.291,1.59,175
2005-10-01,5,6.23,15041.232,1.64,180
2006-01-01,4.7,6.25,15244.088,1.61,183
2006-04-01,4.6,6.6,15281.525,1.62,184
2006-07-01,4.6,6.56,15304.517,1.74,183
2006-10-01,4.4,6.24,15433.643,1.92,184
2007-01-01,4.5,6.21,15478.956,2.08,184
2007-04-01,4.5,6.36,15577.779,2.29,182
2007-07-01,4.7,6.55,15671.605,2.71,178
2007-10-01,4.8,6.22,15767.146,3.1,175
2008-01-01,5,5.87,15702.906,3.68,172
2008-04-01,5.3,6.09,15792.773,4.36,167
2008-07-01,6,6.32,15709.562,5.28,162
2008-10-01,6.9,5.84,15366.607,6.58,156
2009-01-01,8.3,5.06,15187.475,8.01,150
2009-04-01,9.3,5.01,15161.772,8.57,148
2009-07-01,9.6,5.16,15216.647,9.48,148
2009-10-01,9.9,4.92,15379.155,10.4,148
2010-01-01,9.8,5,15456.059,11.48,146
2010-04-01,9.6,4.92,15605.628,11.08,146
2010-07-01,9.5,4.45,15726.282,10.66,144
2010-10-01,9.5,4.44,15807.995,10.33,142
2011-01-01,9,4.85,15769.911,10.36,141
2011-04-01,9.1,4.65,15876.839,10.55,140
2011-07-01,9,4.29,15870.684,10.51,139
2011-10-01,8.6,4,16048.702,10.26,137
2012-01-01,8.3,3.92,16179.968,10.33,137
2012-04-01,8.2,3.79,16253.726,10.45,140
2012-07-01,8,3.55,16282.151,10.47,142
2012-10-01,7.8,3.36,16300.035,10.02,145
2013-01-01,7.7,3.5,16441.485,9.74,148
2013-04-01,7.5,3.67,16464.402,9.32,153
2013-07-01,7.2,4.44,16594.743,8.66,157
2013-10-01,6.9,4.29,16712.76,8.3,160
2014-01-01,6.7,4.36,16654.247,7.77,163
2014-04-01,6.2,4.23,16868.109,7.43,164
2014-07-01,6.1,4.14,17064.616,7.06,165
2014-10-01,5.7,3.96,17141.235,6.5,167
2015-01-01,5.5,3.72,17280.647,6.24,169
2015-04-01,5.4,3.82,17380.875,5.82,171
2015-07-01,5.1,3.95,17437.08,5.39,173
2015-10-01,5,3.9,17462.579,5.11,176
2016-01-01,4.9,3.74,17565.465,4.78,178
2016-04-01,4.9,3.59,17618.581,4.59,179
2016-07-01,4.9,3.45,17724.489,4.38,182
2016-10-01,4.8,3.84,17812.56,4.14,185
2017-01-01,4.6,4.17,17889.094,3.9,187
2017-04-01,4.4,3.98,17979.218,3.68,190
2017-07-01,4.3,3.88,18127.994,3.64,193
2017-10-01,4.2,3.92,18310.3,3.57,196
2018-01-01,4,4.28,18437.127,3.48,199
2018-04-01,3.9,4.54,18565.697,3.22,201
2018-07-01,3.8,4.57,18699.748,2.99,204
2018-10-01,3.8,4.78,18733.741,2.83,206
2019-01-01,3.9,4.37,18835.411,2.69,207
2019-04-01,3.6,4.01,18962.175,2.6,208
2019-07-01,3.6,3.66,19130.932,2.44,210
2019-10-01,3.6,3.7,19215.691,2.34,213
2020-01-01,3.8,3.52,18989.877,2.35,216
2020-04-01,13,3.24,17378.712,2.54,217
2020-07-01,8.8,2.95,18743.72,2.84,223
2020-10-01,6.8,2.76,18924.262,2.74,233
2021-01-01,6.2,2.88,19216.224,2.68,242
2021-04-01,5.9,3,19544.248,2.47,254
2021-07-01,5.1,2.87,19672.594,2.3,267
2021-10-01,4.2,3.08,20006.181,2.28,277
2022-01-01,3.8,3.82,19924.088,2.09,291
2022-04-01,3.6,5.27,19895.271,1.96,303
2022-07-01,3.6,5.62,20054.663,1.85,302
2022-10-01,3.6,6.66,20182.491,1.78,298
2023-01-01,3.5,6.37,20282.76,1.74,297
2023-04-01,3.6,6.51,20386.467,1.72,303